Question,Answer
find terrorist organizations involved in september 11 attacks.,al-Qaeda
find terrorist organizations involved in nine-eleven.,al-Qaeda
find terrorist organizations involved in nine eleven.,al-Qaeda
which terrorist organizations were involved in the september 11 attacks?,al-Qaeda
which terrorist organizations were involved in the nine-eleven?,al-Qaeda
which terrorist organizations were involved in the nine eleven?,al-Qaeda
the september 11 attacks were carried out with the involvement of what terrorist organizations?,al-Qaeda
the nine-eleven were carried out with the involvement of what terrorist organizations?,al-Qaeda
the nine eleven were carried out with the involvement of what terrorist organizations?,al-Qaeda
look for terrorist organizations that were responsible for september 11 attacks.,al-Qaeda
look for terrorist organizations that were responsible for nine-eleven.,al-Qaeda
look for terrorist organizations that were responsible for nine eleven.,al-Qaeda
who did september 11 attacks?,al-Qaeda
who did nine-eleven?,al-Qaeda
who did nine eleven?,al-Qaeda
locate terrorist groups that participated in the september 11 attacks.,al-Qaeda
locate terrorist groups that participated in the nine-eleven.,al-Qaeda
locate terrorist groups that participated in the nine eleven.,al-Qaeda
who bred barbaro?,Lael Stables
who bred barbaro the horse?,Lael Stables
who was the breeder of barbaro?,Lael Stables
who was the breeder of barbaro the horse?,Lael Stables
find the breeder of barbaro.,Lael Stables
find the breeder of barbaro the horse.,Lael Stables
at which stables was barbaro bred?,Lael Stables
at which stables was barbaro the horse bred?,Lael Stables
who bred the racehorse named barbaro?,Lael Stables
who bred the racehorse named barbaro the horse?,Lael Stables
what stable bred the racehorse barbaro?,Lael Stables
what stable bred the racehorse barbaro the horse?,Lael Stables
mewtwo is what kind of pokemon?,Psychic Pokémon
myuutsu is what kind of pokemon?,Psychic Pokémon
myuutwo is what kind of pokemon?,Psychic Pokémon
what type of pokemon is mewtwo?,Psychic Pokémon
what type of pokemon is myuutsu?,Psychic Pokémon
what type of pokemon is myuutwo?,Psychic Pokémon
what is mewtwo's pokemon type?,Psychic Pokémon
what is myuutsu's pokemon type?,Psychic Pokémon
what is myuutwo's pokemon type?,Psychic Pokémon
what rank is lady companion of the garter?,Lady Companion
what rank is lady of the garter?,Lady Companion
lady companion of the garter is what chivalric rank?,Lady Companion
lady of the garter is what chivalric rank?,Lady Companion
what is the chivalric rank of lady companion of the garter.,Lady Companion
what is the chivalric rank of lady of the garter.,Lady Companion
name the chivalric rank of lady companion of the garter.,Lady Companion
name the chivalric rank of lady of the garter.,Lady Companion
what rank accompanies the lady companion of the garter?,Lady Companion
what rank accompanies the lady of the garter?,Lady Companion
lady companion of the garter is known by which chivalric rank?,Lady Companion
lady of the garter is known by which chivalric rank?,Lady Companion
which office granted the patent mouse?,United States Patent and Trademark Office
which office granted the patent tilt wheel?,United States Patent and Trademark Office
which office granted the patent computer mouse?,United States Patent and Trademark Office
the patent for the mouse was filed where?,United States Patent and Trademark Office
the patent for the tilt wheel was filed where?,United States Patent and Trademark Office
the patent for the computer mouse was filed where?,United States Patent and Trademark Office
please name the place where the patent mouse filed at.,United States Patent and Trademark Office
please name the place where the patent tilt wheel filed at.,United States Patent and Trademark Office
please name the place where the patent computer mouse filed at.,United States Patent and Trademark Office
where was the patent mouse filed?,United States Patent and Trademark Office
where was the patent tilt wheel filed?,United States Patent and Trademark Office
where was the patent computer mouse filed?,United States Patent and Trademark Office
in which office was the patent mouse filed?,United States Patent and Trademark Office
in which office was the patent tilt wheel filed?,United States Patent and Trademark Office
in which office was the patent computer mouse filed?,United States Patent and Trademark Office
what location was the mouse patent filed at?,United States Patent and Trademark Office
what location was the tilt wheel patent filed at?,United States Patent and Trademark Office
what location was the computer mouse patent filed at?,United States Patent and Trademark Office
look for people who use gamesys services.,NI Group
find customers of gamesys.,Heart
who are gamesys customers?,Heart
who are some customers of gamesys?,NI Group
the united states of america is the origin of which legal drug classifications?,Prescription drug
the us is the origin of which legal drug classifications?,Illegal
the united states is the origin of which legal drug classifications?,Schedule V (CSA)
what drug legal statuses are used in the united states of america?,Schedule IV (CSA)
what drug legal statuses are used in the us?,Schedule I (CSA)
what drug legal statuses are used in the united states?,Illegal
which drug legal classifications originate from the united states of america?,Schedule V (CSA)
which drug legal classifications originate from the us?,Schedule I (CSA)
which drug legal classifications originate from the united states?,Investigational New Drug
what drug legal statuses are defined by the united states of america?,Dietary supplement
what drug legal statuses are defined by the us?,Not evaluated by FDA
what drug legal statuses are defined by the united states?,Investigational New Drug
what is the process for weaving denim?,Twill
what weave is used for denim?,Twill
what weaves are used to produce denim?,Twill
what is the weave of denim?,Twill
how to weave denim?,Twill
how is denim woven to form fabric?,Twill
what is the stance mike tyson use when boxing?,Orthodox stance
what is the stance michael tyson use when boxing?,Orthodox stance
what is the stance tyson use when boxing?,Orthodox stance
mike tyson uses which stance?,Orthodox stance
michael tyson uses which stance?,Orthodox stance
tyson uses which stance?,Orthodox stance
what stance does mike tyson use?,Orthodox stance
what stance does michael tyson use?,Orthodox stance
what stance does tyson use?,Orthodox stance
which boxing stance is used by mike tyson?,Orthodox stance
which boxing stance is used by michael tyson?,Orthodox stance
which boxing stance is used by tyson?,Orthodox stance
which boxing stance is utilized by mike tyson?,Orthodox stance
which boxing stance is utilized by michael tyson?,Orthodox stance
which boxing stance is utilized by tyson?,Orthodox stance
what hair color does kate moss have?,Brown
what hair color does katherine ann moss have?,Brown
what is the hair color of kate moss?,Brown
what is the hair color of katherine ann moss?,Brown
what color is kate moss's hair?,Brown
what color is katherine ann moss's hair?,Brown
name the shade of hair of model kate moss?,Brown
name the shade of hair of model katherine ann moss?,Brown
"the nikon d300 includes a sensor, who made this sensor?",Nikon Corporation
"the d300 includes a sensor, who made this sensor?",Nikon Corporation
who made the sensor of nikon d300?,Nikon Corporation
who made the sensor of d300?,Nikon Corporation
what company made the sensor of nikon d300?,Nikon Corporation
what company made the sensor of d300?,Nikon Corporation
what is the name of the company that produces the sensor of nikon d300?,Nikon Corporation
what is the name of the company that produces the sensor of d300?,Nikon Corporation
find the manufacturer of nikon d300's image sensor.,Nikon Corporation
find the manufacturer of d300's image sensor.,Nikon Corporation
which business manufactures the nikon d300 camera's image sensor?,Nikon Corporation
which business manufactures the d300 camera's image sensor?,Nikon Corporation
what ice hockey coaches have been working on their current job since 2009?,Dan Bylsma
2009 was the starting time of what current ice hockey coaches?,Dan Bylsma
which ice hockey coaches started their current employment from 2009?,Dan Bylsma
who started to coach his/her current ice hockey team from 2009?,John Tortorella
which ice hockey coaches started to coach their current team in 2009?,Peter Laviolette
which synagogues were designed in a gothic architecture style?,Eldridge Street Synagogue
which synagogues were designed in a gothic style?,Eldridge Street Synagogue
which synagogues were designed in a gothical style?,Eldridge Street Synagogue
which synagogues are of the gothic architecture style?,Eldridge Street Synagogue
which synagogues are of the gothic style?,Eldridge Street Synagogue
which synagogues are of the gothical style?,Eldridge Street Synagogue
what is the name of the jewish synagogue representing the gothic architecture style?,Eldridge Street Synagogue
what is the name of the jewish synagogue representing the gothic style?,Eldridge Street Synagogue
what is the name of the jewish synagogue representing the gothical style?,Eldridge Street Synagogue
what are the synagogues that are built with a gothic architecture?,Eldridge Street Synagogue
what are the synagogues that are built with a gothic?,Eldridge Street Synagogue
what are the synagogues that are built with a gothical?,Eldridge Street Synagogue
which synagogue has the architectural style gothic architecture?,Eldridge Street Synagogue
which synagogue has the architectural style gothic?,Eldridge Street Synagogue
which synagogue has the architectural style gothical?,Eldridge Street Synagogue
who wrote twilight?,Stephenie Meyer
whose work has been adapted for the film twilight?,Stephenie Meyer
the movie twilight is based on whose book?,Stephenie Meyer
what is the name of the author that wrote twilight?,Stephenie Meyer
what is the name of twilight's author?,Stephenie Meyer
who wrote the story of twilight?,Stephenie Meyer
who is the author of twilight?,Stephenie Meyer
what kind of spirit is justerini & brooks?,Single malt Scotch whisky
what kind of spirit is j&b?,Single malt Scotch whisky
what kind of spirit is j & b?,Single malt Scotch whisky
what kind of alcoholic beverage is justerini & brooks?,Grain whisky
what kind of alcoholic beverage is j&b?,Grain whisky
what kind of alcoholic beverage is j & b?,Grain whisky
what type of distilled spirit is justerini & brooks?,Single malt Scotch whisky
what type of distilled spirit is j&b?,Grain whisky
what type of distilled spirit is j & b?,Single malt Scotch whisky
justerini & brooks is which type of distilled spirit?,Grain whisky
j&b is which type of distilled spirit?,Single malt Scotch whisky
j & b is which type of distilled spirit?,Grain whisky
what comic book series belong to science fiction?,Echo
what comic book series belong to sci-fi?,Amuri in Star Ocean
what comic book series belong to scifi?,DT Eightron
give me science fiction comic books.,Mojacko
give me sci-fi comic books.,Blake and Mortimer
give me scifi comic books.,The Private Eye
what are the science fiction themed comic book series?,Twin Signal
what are the sci-fi themed comic book series?,Mojacko
what are the scifi themed comic book series?,Monkeyman & O'Brien
find comic book series in the science fiction genre.,Twin Signal
find comic book series in the sci-fi genre.,Echo
find comic book series in the scifi genre.,Infinite Stratos
find comic book series under the genre science fiction.,Barabanba
find comic book series under the genre sci-fi.,The Invisibles
find comic book series under the genre scifi.,Echo
name an academic article on the subject of sociology?,Toward Racial Healing
what are the articles about sociology published in a journal?,Toward Racial Healing
find journal articles about sociology.,Toward Racial Healing
what journal articles are there in sociology?,Toward Racial Healing
in which tournaments did west indies cricket team win the championship?,2012 ICC World Twenty20
in which tournaments did west indies win the championship?,1979 Cricket World Cup
in which tournaments did windies win the championship?,2012 ICC World Twenty20
which tournaments has west indies cricket team won?,2012 ICC World Twenty20
which tournaments has west indies won?,2012 ICC World Twenty20
which tournaments has windies won?,2012 ICC World Twenty20
what are the tournaments that west indies cricket team was the champion?,1979 Cricket World Cup
what are the tournaments that west indies was the champion?,1979 Cricket World Cup
what are the tournaments that windies was the champion?,1979 Cricket World Cup
which championships did the west indies cricket team win during tournament play?,1979 Cricket World Cup
which championships did the west indies win during tournament play?,2012 ICC World Twenty20
which championships did the windies win during tournament play?,2012 ICC World Twenty20
find the child literary genres of science fiction.,Soft science fiction
find the child literary genres of sci-fi.,Feminist science fiction
find the child literary genres of scifi.,Cyberpunk
